Your Sex?,Your Matric (grade 12) Average/ GPA (in %),[Adjusted] What year were you in last year (2023) ?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),[Adjusted] Your Accommodation Status Last Year (2023),[Adjusted] Monthly Allowance in 2023,[Adjusted] Were you on scholarship/bursary in 2023?,[Adjusted] Additional amount of studying (in hrs) per week,[Adjusted] How often do you go out partying/socialising during the week? ,"[Adjusted] On a night out, how many alcoholic drinks do you consume?","[Adjusted] How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",[Adjusted] How many modules have you failed thus far into your studies?,[Adjusted] Are you currently in a romantic relationship?,[Adjusted] Do your parents approve alcohol consumption?,[Adjusted] How strong is your relationship with your parent/s?,Arts & Social Sciences,Economic & Management Sciences,AgriSciences,Engineering,Science,Medicine and Health Services,Law,Education,Female (Dummy)
Female,75,1,75,0,0,0,3,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,82,1,72,0,1,0,2,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
Male,82,2,63,0,1,0,8,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Female,80,2,74,0,3,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Female,65,2,60,0,0,0,3,1.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Male,85,1,60,0,0,0,8,1,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0
Male,69,1,55,0,1,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Female,68,0,55,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Male,72,0,58,0,2,0,1,3,8,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,84,0,92,1,1,0,2,1.5,8,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Male,70,2,53,0,0,0,2,1,8,4,4,1,1,0,0,1,0,0,0,0,0,0,0
Male,82,2,77,1,1,1,8,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Female,70,0,70,0,0,0,1,1.5,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1
Female,78,1,57,0,4,0,3,3,3,0,4,0,1,0,0,1,0,0,0,0,0,0,1
Female,95,1,87.6,0,4,0,8,1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Female,75,0,60,0,0,1,2,1.5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
Female,80,3,55,0,1,0,2,1,1,1,4,0,1,0,0,1,0,0,0,0,0,0,1
Male,86,0,73,1,3,0,8,2,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0
Male,84,0,76,0,3,0,8,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0
Female,82,1,68,0,0,0,2,1,8,1,3,0,1,0,1,0,0,0,0,0,0,0,1
Male,73,1,57,0,0,1,8,1,1,1,3,0,0,1,0,1,0,0,0,0,0,0,0
Female,75,0,63,0,1,0,8,2,1,2,0,1,1,1,0,0,1,0,0,0,0,0,1
Male,74,0,64,0,0,1,3,1,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Male,68,0,55,1,0,0,1,3,8,4,1,0,0,0,0,1,0,0,0,0,0,0,0
Male,78,0,76,0,2,0,1,3,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0
Male,77,0,65,0,1,0,3,1,8,2,0,0,1,1,0,1,0,0,0,0,0,0,0
Female,79,0,71,0,4,0,8,2,3,0,0,1,0,2,0,1,0,0,0,0,0,0,1
Male,78,0,73,0,2,0,3,3,8,2,2,0,1,2,0,1,0,0,0,0,0,0,0
Male,86.4,0,57,1,0,0,1,2,8,2,0,1,1,0,0,0,0,1,0,0,0,0,0
Male,82,4,62,0,3,0,8,1,8,0,1,1,1,0,0,0,0,1,0,0,0,0,0
Male,60,0,75,0,0,0,1,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,84,0,69,0,1,1,3,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Male,75,0,65,0,1,0,2,4,3,4,0,1,1,1,0,1,0,0,0,0,0,0,0
Male,81,1,64,0,2,0,8,1,8,2,3,1,1,0,0,1,0,0,0,0,0,0,0
Female,85,1,76,0,2,0,8,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,1
Male,95.5,4,65,0,0,1,8,3,8,0,0,1,1,2,0,0,0,1,0,0,0,0,0
Male,76,0,60,0,1,0,1,1,8,1,1,0,1,1,0,0,0,0,1,0,0,0,0
Male,72,2,68,0,4,0,8,3,3,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Male,76,1,64,0,4,0,8,3,3,2,1,1,1,1,0,1,0,0,0,0,0,0,0
Female,71,0,67,0,0,1,3,2,3,3,1,0,1,0,0,0,0,0,0,0,0,1,1
Female,72,0,77,0,0,0,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1
Female,78,1,83,0,3,0,8,1.5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Female,87,1,61,0,1,0,8,3,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
Female,76,0,65,0,1,0,3,1.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Male,76,1,65,0,0,0,2,3,3,0,2,0,1,0,0,1,0,0,0,0,0,0,0
Female,94,1,67,1,0,0,8,1.5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Female,78,0,58,0,2,0,3,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,1
Female,84,1,61,0,1,0,1,2,3,3,0,1,1,1,0,1,0,0,0,0,0,0,1
Female,79,1,77,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Male,80,1,57,0,0,0,2,1,3,1,1,0,1,1,0,0,0,0,1,0,0,0,0
Male,67,0,30,0,0,0,1,4,8,4,4,0,1,0,0,1,0,0,0,0,0,0,0
Female,76,0,80,0,0,0,1,2,8,1,4,0,1,0,0,1,0,0,0,0,0,0,1
Male,72,0,65,0,2,0,3,1,8,0,0,1,1,2,0,1,0,0,0,0,0,0,0
Male,73,0,70,0,3,0,2,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Male,78,0,83,0,0,0,1,3,8,2,0,1,1,0,0,1,0,0,0,0,0,0,0
Male,82,0,73,0,1,0,8,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Female,75,0,89,0,2,0,3,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1
Male,67,1,81,0,1,0,8,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Female,78,1,71,0,0,0,3,2,2,2,0,0,1,2,0,1,0,0,0,0,0,0,1
